movie_id,title,year,genres,overview,source,status
1,Toy Story (1995),1995,Animation|Children's|Comedy,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
2,Jumanji (1995),1995,Adventure|Children's|Fantasy,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
3,Grumpier Old Men (1995),1995,Comedy|Romance,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
4,Waiting to Exhale (1995),1995,Comedy|Drama,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
5,Father of the Bride Part II (1995),1995,Comedy,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
6,Heat (1995),1995,Action|Crime|Thriller,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
7,Sabrina (1995),1995,Comedy|Romance,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
8,Tom and Huck (1995),1995,Adventure|Children's,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
9,Sudden Death (1995),1995,Action,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
10,GoldenEye (1995),1995,Action|Adventure|Thriller,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
11,"American President, The (1995)",1995,Comedy|Drama|Romance,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
12,Dracula: Dead and Loving It (1995),1995,Comedy|Horror,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
13,Balto (1995),1995,Animation|Children's,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
14,Nixon (1995),1995,Drama,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
15,Cutthroat Island (1995),1995,Action|Adventure|Romance,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
16,Casino (1995),1995,Drama|Thriller,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
17,Sense and Sensibility (1995),1995,Drama|Romance,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
18,Four Rooms (1995),1995,Thriller,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
19,Ace Ventura: When Nature Calls (1995),1995,Comedy,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
20,Money Train (1995),1995,Action,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
21,Get Shorty (1995),1995,Action|Comedy|Drama,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
22,Copycat (1995),1995,Crime|Drama|Thriller,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,https://huggingface.co/datasets/mt0rm0/movie_descriptors,found
