movie_id,title,year,genres,overview,source,status,source_domain,mismatch_start,audit_round,audit_flag,audit_notes
33,Wings of Courage (1995),1995,Adventure|Romance,"A short IMAX adventure-drama dramatizing early airmail flights over the Andes, centered on pilot Henri Guillaumet after a crash forces him to trek back to civilization.",https://en.wikipedia.org/wiki/Wings_of_Courage,filled_manual,en.wikipedia.org,False,rand200_r2,,
56,Kids of the Round Table (1995),1995,Adventure|Children's|Fantasy,"A modern-day Arthurian fantasy in which young Alex Cole and his friends discover Excalibur and confront a menacing biker gang, guided by Merlin’s magic and the legend of King Arthur.",https://en.wikipedia.org/wiki/Kids_of_the_Round_Table,filled_manual,en.wikipedia.org,False,rand200_r1,,
73,"Misérables, Les (1995)",1995,Drama|Musical,"Claude Lelouch’s war drama that reimagines Victor Hugo’s novel in 20th‑century France, following Henri Fortin as he sees echoes of Jean Valjean’s story in his own life amid war and occupation.",https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_%281995_film%29,filled_manual,en.wikipedia.org,False,rand200_r2,,
83,Once Upon a Time... When We Were Colored (1995),1995,Drama,"A coming-of-age period drama based on Clifton Taulbert’s memoir, portraying childhood and community life in segregated rural Mississippi from the 1940s through the early civil-rights era.",https://www.imdb.com/title/tt0114039/,filled_manual|source_fix_rand100,www.imdb.com,False,rand200_r1;rand300_r3,,
96,In the Bleak Midwinter (1995),1995,Comedy,"Kenneth Branagh’s romantic comedy about an out-of-work actor who mounts a small-town Christmas production of Hamlet to help save a local church, bringing together a motley troupe of performers.",https://en.wikipedia.org/wiki/In_the_Bleak_Midwinter_%28film%29,filled_manual,en.wikipedia.org,False,rand200_r1,,
106,Nobody Loves Me (Keiner liebt mich) (1994),1994,Comedy|Drama,"A German comedy-drama about Fanny Fink, nearing 30 and desperate for love, whose life changes after meeting the enigmatic Orfeo.",https://en.wikipedia.org/wiki/Nobody_Loves_Me_%28film%29,filled_manual,en.wikipedia.org,False,rand200_r1,,
121,"Boys of St. Vincent, The (1993)",1993,Drama,"A two-part Canadian docudrama inspired by the Mount Cashel scandal, depicting the physical and sexual abuse of boys at a Catholic orphanage and the later consequences and investigations.",https://en.wikipedia.org/wiki/The_Boys_of_St._Vincent,filled_manual,en.wikipedia.org,False,rand200_r1,,
126,"NeverEnding Story III, The (1994)",1994,Adventure|Children's|Fantasy,"The third NeverEnding Story film, where bullies steal the magical book that links Earth and Fantasia; Bastian must return to stop the Nasties from taking over the fantasy world.",https://en.wikipedia.org/wiki/The_NeverEnding_Story_III,filled_manual,en.wikipedia.org,False,rand200_r2,,
128,Jupiter's Wife (1994),1994,Documentary,"A documentary in which filmmaker Michel Negroponte follows Maggie, a homeless woman who claims to be married to the god Jupiter, trying to reconstruct her past and separate fact from delusion.",https://www.imdb.com/title/tt0110217/,filled_manual,www.imdb.com,False,rand300_r3,,
129,Pie in the Sky (1995),1995,Comedy|Romance,"A romantic comedy about Charlie, obsessed with solving traffic gridlock, who falls in love with an avant‑garde dancer while chasing his dreams in Los Angeles.",https://en.wikipedia.org/wiki/Pie_in_the_Sky_%281995_film%29,filled_manual,en.wikipedia.org,False,rand200_r1,,
142,Shadows (Cienie) (1988),1988,Drama,"A drama set around World War II and its aftermath, about Polish children taken by the Nazis for Germanization and the painful return and identity struggles faced by one such child.",https://letterboxd.com/film/shadows-1988/,filled_manual,letterboxd.com,False,rand200_r1;rand300_r3,,
143,Gospa (1995),1995,Drama,A religious drama about the reported Marian apparitions in Medjugorje in 1981 and the political persecution of clergy and pilgrims by Yugoslav communist authorities.,https://en.wikipedia.org/wiki/Gospa,filled_manual,en.wikipedia.org,False,rand200_r1;rand300_r3,,
157,Canadian Bacon (1994),1994,Comedy|War,"Michael Moore’s satire in which a U.S. president manufactures an anti‑Canada conflict to boost approval ratings, sparking border-town hysteria and an absurd near-war.",https://www.themoviedb.org/movie/1775-canadian-bacon,filled_manual|source_fix_rand100,www.themoviedb.org,False,rand200_r1,,
183,Mute Witness (1994),1994,Thriller,A horror thriller where a mute American makeup artist in Moscow accidentally witnesses a real murder on a snuff-film set and becomes the target of the criminal ring behind it.,https://www.themoviedb.org/movie/48787-mute-witness,filled_manual|source_fix_rand100,www.themoviedb.org,False,rand200_r2;rand300_r3,,
224,Don Juan DeMarco (1995),1995,Comedy|Drama|Romance,A romantic dramedy in which a psychiatrist treats a young man who believes he is the legendary lover Don Juan; their sessions transform both men’s views on love and life.,https://en.wikipedia.org/wiki/Don_Juan_DeMarco,filled_manual,en.wikipedia.org,False,rand200_r1,,
230,Dolores Claiborne (1994),1994,Drama|Thriller,"A psychological thriller about Dolores Claiborne, accused of murdering her elderly employer, as her estranged daughter returns and past trauma and family secrets surface through flashbacks.",https://www.themoviedb.org/movie/11929-dolores-claiborne,filled_manual|source_fix_rand100,www.themoviedb.org,False,rand200_r2;rand300_r3,,
248,Houseguest (1994),1994,Comedy,"A comedy where con man Kevin Franklin, in debt to the mob, hides in a suburban home by posing as an old friend of the family, causing escalating chaos.",https://www.themoviedb.org/movie/17207-houseguest,filled_manual|source_fix_rand100,www.themoviedb.org,False,rand200_r1,,
250,Heavyweights (1994),1994,Children's|Comedy,A teen comedy about overweight kids sent to a fat camp that is taken over by a ruthless fitness guru; the campers band together to reclaim the camp and their self-respect.,https://en.wikipedia.org/wiki/Heavyweights,filled_manual,en.wikipedia.org,False,rand200_r1;rand300_r3,,
255,"Jerky Boys, The (1994)",1994,Comedy,A crime-comedy about two Queens prank callers whose jokes entangle them with the Mafia after they stumble into a money-laundering scheme.,https://en.wikipedia.org/wiki/The_Jerky_Boys%3A_The_Movie,filled_manual,en.wikipedia.org,False,rand300_r3,,
267,Major Payne (1994),1994,Comedy,"A comedy starring Damon Wayans as a hard-nosed Marine reassigned to train a group of misfit JROTC cadets, learning to care for them while preparing them for competition.",https://en.wikipedia.org/wiki/Major_Payne,filled_manual,en.wikipedia.org,False,rand200_r2;rand300_r3,,
269,My Crazy Life (Mi vida loca) (1993),1993,Drama,"Mousie and Sad Girl are childhood best friends in a contemporary Los Angeles poor Hispanic neighborhood. But when Sad Girl becomes pregnant by Mousie's boyfriend, a drug dealer named Ernesto, the two become bitter enemies. While their dispute escalates towards violence, the violence of the world around them soon also impacts their lives.",https://www.themoviedb.org/movie/32325,filled_tmdb_tok_loose,www.themoviedb.org,False,rand200_r2;re_audit200_hr1,OK,
284,New York Cop (1996),1996,Action|Crime,"Allegedly based on a true story, this film follows the life of Toshi, a Japanese man living in America and working with the New York City police. After being recommended for undercover work, Toshi decides to go after a gang lead by Hawk. Hawk and Toshi soon become friends, although Hawk's second-in-command, Tito, is suspicious of the newcomer. Will Toshi be able to bring the gang down, or will his cover be blown before he can finish the assignment?",https://www.themoviedb.org/movie/109560,filled_tmdb,www.themoviedb.org,False,rand300_r3,,
285,Beyond Bedlam (1993),1993,Drama|Horror,An experiment gone awry places a neurologist (Elizabeth Hurley) and a homicide detective (Craig Fairbrass) in a psychopath's (Keith Allen) nightmarish world.,https://www.themoviedb.org/movie/56428,filled_tmdb,www.themoviedb.org,False,rand200_r1;rand300_r3,,
287,Nina Takes a Lover (1994),1994,Comedy|Romance,"Laura San Giacomo stars in this sexy comedy about adultery. When Nina's (San Giacomo) husband goes out of town for several weeks on a business trip, Nina hooks up with a photographer. Told from a reporter's point of view, his interviews with Nina and the photographer provide comic insights. Stars Laura San Giacomo, Paul Rhys, Michael O'Keefe, Fisher Stevens and more.",https://www.themoviedb.org/movie/131957,filled_tmdb,www.themoviedb.org,False,rand300_r3,,
291,Poison Ivy II (1995),1995,Thriller,"A young and naive college art student becomes obsessed with assuming the identity and personality of a departed coed who used to live in her room, and in so doing causes complications that result in two men, a student and her art professor, lusting after her.",https://www.themoviedb.org/movie/18220,filled_tmdb_tok,www.themoviedb.org,False,rand200_r1;re_audit200_hr1,OK,
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",1994,Crime|Drama|Romance|Thriller,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",https://www.themoviedb.org/movie/101,filled_tmdb_fuzzy,www.themoviedb.org,False,rand200_r1;rand300_r3;re_audit200_hr1,OK,
304,Roommates (1995),1995,Comedy|Drama,"In 1963 Pittsburgh, Rocky Holzcek is a cantankerous 77-year-old Polish-American baker who insists, despite relatives' protests, upon adopting his young grandson Michael when the boy's parents pass away. The other family members are unwilling to take in Michael and say that Rocky is too old, but he insists that ""Family takes care of family!"" The two live in Rocky's apartment and often play cards.",https://www.imdb.com/title/tt0114296/,filled_plot_dataset,www.imdb.com,False,rand300_r3;re_audit200_hr1,SUSPECT,mentions_far_years:1963
305,Ready to Wear (Pret-A-Porter) (1994),1994,Comedy,"A chronicle of the interconnected lives of journalists, designers and models in the lead-up to Paris Fashion Week.",https://www.imdb.com/title/tt0110907/,fixed_imdb_match,www.imdb.com,False,rand200_r1,,
311,Relative Fear (1994),1994,Horror|Thriller,"Linda and Peter Pratman's son Adam is autistic, but they still love him and hope that he'll at least start talking some day. However he's teased and abused by the kids of the neighborhood and his grandpa . When several people around Adam die an unexpected death, his parents start to suspect Adam - is he just simulating to be so ignorant about his environment?",https://www.themoviedb.org/movie/92769,filled_tmdb,www.themoviedb.org,False,rand300_r3,,
322,Swimming with Sharks (1995),1995,Comedy|Drama,"A young, naive Hollywood studio assistant finally turns the tables on his incredibly abusive producer boss.",https://www.themoviedb.org/movie/20306,filled_tmdb,www.themoviedb.org,False,rand200_r2;rand300_r3,,
325,National Lampoon's Senior Trip (1995),1995,Comedy,"While in detention, a group of misfits write a letter to the U.S. President about what's wrong with education—only for him to love it and invite them to Washington, forcing the teens on a chaotic road trip.",https://www.themoviedb.org/movie/27993-national-lampoon-s-senior-trip,fixed_tmdb_id,themoviedb.org,False,rand300_r3,,
328,Tales From the Crypt Presents: Demon Knight (1995),1995,Horror,A man on the run is hunted by a demon known as the Collector.,https://www.themoviedb.org/movie/9059,filled_tmdb_tok,www.themoviedb.org,False,rand200_r2;re_audit200_hr1,OK,
346,Backbeat (1993),1993,Drama|Musical,"Chronicles the early days of The Beatles in Hamburg, Germany. The film focuses primarily on the relationship between Stuart Sutcliffe (played by Stephen Dorff) and John Lennon (played by Ian Hart), and also with Sutcliffe's German girlfriend Astrid Kirchherr (played by Sheryl Lee).",https://www.themoviedb.org/movie/12635,filled_tmdb,www.themoviedb.org,False,rand200_r1;rand300_r3,,
366,Wes Craven's New Nightmare (1994),1994,Horror,"Heather Langenkamp lives in Los Angeles, California, with her husband, Chase, and their young son, Dylan. She is recognized for her role as Nancy Thompson in the A Nightmare on Elm Street film series. One night, she has a nightmare in which her family is attacked by a set of animated Freddy Krueger claws from an upcoming Nightmare film. Waking up to an earthquake, she notices a cut on Chase's finger similar to the one he had in her dream.",https://www.imdb.com/title/tt0111686/,filled_plot_dataset,www.imdb.com,False,rand200_r2;re_audit200_hr1,OK,
370,Naked Gun 33 1/3: The Final Insult (1994),1994,Comedy,"Frank Drebin is persuaded out of retirement to go undercover in a state prison. There he is to find out what top terrorist, Rocco, has planned for when he escapes. Frank's wife, Jane, is desperate for a baby.. this adds to Frank's problems. A host of celebrities at the Academy awards ceremony are humiliated by Frank as he blunders his way trying to foil Rocco.",https://www.themoviedb.org/movie/36593,filled_tmdb_tok,www.themoviedb.org,False,rand200_r2;re_audit200_hr1,OK,
373,Red Rock West (1992),1992,Thriller,"When a promised job for Texan Michael fails to materialise in Wyoming, Mike is mistaken by Wayne to be the hitman he hired to kill his unfaithful wife, Suzanne. Mike takes full advantage of the situation, collects the money and runs. During his getaway, things go wrong, and soon get worse when he runs into the real hitman, Lyle.",https://www.themoviedb.org/movie/10427,filled_tmdb,www.themoviedb.org,False,rand200_r2,,
374,Richie Rich (1994),1994,Children's|Comedy,"Billionaire heir Richie Rich has it all, including Reggie Jackson as a batting coach and Claudia Schiffer as a personal trainer -- but no playmates. What's more, scoundrel Laurence Van Dough is scheming to take over the family empire. Uh-oh! Enter faithful butler Cadbury to save the day.",https://www.themoviedb.org/movie/11011,filled_tmdb_fuzzy,www.themoviedb.org,False,rand200_r2;re_audit200_hr1,OK,
388,Boys Life (1995),1995,Drama,"Compilation of four short films about homoerotic situations involving young men. In ""Trevor"", by Peggy Rajski, a teenager faces homophobia and falls in love for the first time. Tom DeCerchio directed ""Nunzio's Second Cousin"", telling the story of a gay cop who forces a gay-basher to come to his house and have dinner with his family. In ""Alkali, Iowa"", by Mark Christopher, a young gay man finds out some of his father's past secrets. And ""Must Be the Music"", by Nickolas Perry, follows four teenagers looking for love in nightclubs.",https://www.themoviedb.org/movie/50091,filled_tmdb_tok_loose,www.themoviedb.org,False,rand200_r2;re_audit200_hr1,OK,
389,"Colonel Chabert, Le (1994)",1994,Drama|Romance|War,"Colonel Chabert has been severely wounded in the French-Russian Napoleonic war to the point that the medical examiner has signed his death certificate. When he regains his health and memory, he goes back to Paris, where his ""widow"", Anne has married the Count Ferraud and is financing his rise to power using Chabert's money. Chabert hires a lawyer to help him get back his money and his honor.",https://www.themoviedb.org/movie/41580,filled_tmdb_tok,www.themoviedb.org,False,rand200_r1;rand300_r3;re_audit200_hr1,OK,
395,Desert Winds (1995),1995,Drama,"Jackie and Eugene are joined by a mystical wind tunnel which enables them to speak across a 500-mile desert. Believed by the Indians to be an omen of good luck, the wind inspires both characters to face their fears and follow their hearts.",https://www.themoviedb.org/movie/267188,filled_tmdb,www.themoviedb.org,False,rand300_r3,,
403,Two Crimes (1995),1995,Comedy|Crime|Drama,"Boozer, skirt chaser, careless father. You could create your own list of reporter Steve Everett's faults but there's no time. A San Quentin Death Row prisoner is slated to die at midnight – a man Everett has suddenly realized is innocent.",https://www.themoviedb.org/movie/10354,filled_tmdb_fuzzy,www.themoviedb.org,False,rand300_r3;re_audit200_hr1,OK,
404,Brother Minister: The Assassination of Malcolm X (1994),1994,Documentary,"Brother Minister reveals the mystery surrounding the assassination of Malcolm X at the Audubon Ballroom in New York City on February 21, 1965. It probes the innocence of two of the ...",https://www.themoviedb.org/movie/316098,filled_tmdb,www.themoviedb.org,False,rand200_r2,,
405,Highlander III: The Sorcerer (1994),1994,Action|Sci-Fi,"Starts off in the 15th century, with Connor McLeod (Christopher Lambert) training with another immortal swordsman, the Japanese sorcerer Nakano (Mako). When an evil immortal named Kane (Mario Van Peebles) kills the old wizard, the resulting battle leaves him buried in an underground cave. When Kane resurfaces in the 20th century to create havoc, it's up to McLeod to stop him.",https://www.themoviedb.org/movie/8011,filled_tmdb,www.themoviedb.org,False,rand200_r1;rand300_r3,,
406,Federal Hill (1994),1994,Drama,"In Providence's Italian neighborhood, Federal Hill, five young are immersed in drugs, crime and violence. Everything changes when one of the guys in the band know love.",https://www.themoviedb.org/movie/171857,filled_tmdb,www.themoviedb.org,False,rand300_r3,,
407,In the Mouth of Madness (1995),1995,Horror|Thriller,"With the disappearance of hack horror writer Sutter Cane, all Hell is breaking loose...literally! Author Cane, it seems, has a knack for description that really brings his evil creepy-crawlies to life. Insurance investigator John Trent is sent to investigate Cane's mysterious vanishing act and ends up in the sleepy little East Coast town of Hobb's End.",https://www.themoviedb.org/movie/2654,filled_tmdb,www.themoviedb.org,False,rand200_r2,,
411,You So Crazy (1994),1994,Comedy,"Stand up comedy by Martin Lawrence, filmed in the Majestic Theater in New York City. Martin Lawrence talks about everything from racism, to relationships, to his childhood.",https://www.themoviedb.org/movie/38129,filled_tmdb_tok,www.themoviedb.org,False,rand200_r1;re_audit200_hr1,OK,
418,Being Human (1993),1993,Drama,One man must learn the meaning of courage across four lifetimes centuries apart.,https://www.themoviedb.org/movie/46924,filled_tmdb,www.themoviedb.org,False,rand200_r1,,
444,Even Cowgirls Get the Blues (1993),1993,Comedy|Romance,"Sissy Hankshaw (Uma Thurman) is born with enormous thumbs that help her hitchhiking through the US from a young age.  She becomes a model in advertising and her NY agent 'the Countess' (John Hurt) sends her to his ranch in CA to shoot a commercial, set against the background of mating whooping cranes.  There, she befriends Bonanza Jellybean (Rain Phoenix), one of the cowgirls at the beauty- ranch.",https://www.themoviedb.org/movie/34444,filled_tmdb,www.themoviedb.org,False,rand200_r1;rand300_r3,,
449,Fear of a Black Hat (1993),1993,Comedy,"Chronicling the controversial career of bad boys N.W.H. (Niggaz With Hats), this uproarious 'mockumentary' lampoons all of hardcore rap's hot-button issues. This underground laugh riot recounts the rise, fall and resurrection of a clueless bunch of would-be rappers, Ice Cold, Tone-Def &amp; Tasty Taste performing as N.W.H.",https://www.themoviedb.org/movie/20239,filled_tmdb,www.themoviedb.org,False,rand300_r3,,
482,Killing Zoe (1994),1994,Thriller,"Zed (Eric Stoltz) is an American vault-cracker who travels to Paris to meet up with his old friend Eric (Jean-Hugues Anglade). Eric and his gang have planned to raid the only bank in the city which is open on Bastille day. After offering his services, Zed soon finds himself trapped in a situation beyond his control when heroin abuse, poor planning and a call-girl named Zoe all conspire to turn the robbery into a very bloody siege.",https://www.themoviedb.org/movie/507,filled_tmdb,www.themoviedb.org,False,rand300_r3,,
